Flight_ID,Airline,Source,Destination,Departure_Time,Arrival_Time,Delay_Minutes
F0001,IndiGo,BOM,AMD,2024-08-23 07:47:00,2024-08-23 10:01:00,31
F0002,Vistara,PNQ,BLR,2024-07-01 09:34:00,2024-07-01 11:16:00,7
F0003,Air India,CCU,PNQ,2024-08-06 05:06:00,2024-08-06 06:21:00,11
F0004,Akasa Air,MAA,HYD,2024-08-15 21:50:00,2024-08-15 23:13:00,-10
F0005,IndiGo,PNQ,HYD,2024-07-27 08:15:00,2024-07-27 10:15:00,13
F0006,Air India,DEL,AMD,2024-07-27 05:14:00,2024-07-27 07:57:00,29
F0007,SpiceJet,CCU,PNQ,2024-07-10 12:00:00,2024-07-10 13:57:00,24
F0008,Akasa Air,AMD,BOM,2024-07-18 20:32:00,2024-07-18 22:16:00,26
F0009,Akasa Air,BLR,AMD,2024-08-07 05:08:00,2024-08-07 07:37:00,26
F0010,SpiceJet,CCU,BOM,2024-07-24 20:57:00,2024-07-24 23:43:00,-10
F0011,Vistara,HYD,AMD,2024-07-17 08:28:00,2024-07-17 09:28:00,15
F0012,Akasa Air,AMD,CCU,2024-08-01 22:12:00,2024-08-01 23:42:00,6
F0013,IndiGo,HYD,MAA,2024-07-07 21:46:00,2024-07-08 00:24:00,16
F0014,Go First,CCU,BLR,2024-07-28 10:35:00,2024-07-28 12:29:00,33
F0015,Akasa Air,BOM,MAA,2024-07-28 21:59:00,2024-07-29 00:34:00,30
F0016,Go First,HYD,PNQ,2024-07-10 06:41:00,2024-07-10 09:08:00,37
F0017,SpiceJet,DEL,HYD,2024-07-03 21:05:00,2024-07-03 22:39:00,-4
F0018,Akasa Air,HYD,CCU,2024-07-04 10:45:00,2024-07-04 12:34:00,25
F0019,IndiGo,MAA,CCU,2024-08-09 15:01:00,2024-08-09 17:59:00,25
F0020,Akasa Air,AMD,BOM,2024-07-07 13:10:00,2024-07-07 14:16:00,16
F0021,Go First,PNQ,BOM,2024-08-07 08:35:00,2024-08-07 09:48:00,37
F0022,Akasa Air,MAA,DEL,2024-07-27 16:38:00,2024-07-27 19:19:00,1
F0023,IndiGo,BOM,AMD,2024-07-20 17:57:00,2024-07-20 20:24:00,61
F0024,SpiceJet,AMD,BLR,2024-08-14 16:01:00,2024-08-14 17:24:00,11
F0025,Go First,BLR,MAA,2024-08-18 09:43:00,2024-08-18 11:27:00,0
F0026,Akasa Air,MAA,AMD,2024-07-11 22:53:00,2024-07-12 01:11:00,15
F0027,Go First,AMD,PNQ,2024-07-28 17:37:00,2024-07-28 19:45:00,18
F0028,Air India,DEL,CCU,2024-08-16 22:00:00,2024-08-17 00:27:00,3
F0029,Vistara,MAA,HYD,2024-08-04 12:07:00,2024-08-04 13:56:00,-10
F0030,SpiceJet,AMD,HYD,2024-08-13 17:35:00,2024-08-13 20:27:00,-5
F0031,SpiceJet,CCU,BOM,2024-07-21 09:39:00,2024-07-21 11:02:00,-6
F0032,Vistara,CCU,HYD,2024-07-05 19:15:00,2024-07-05 21:11:00,0
F0033,SpiceJet,HYD,AMD,2024-07-03 17:19:00,2024-07-03 19:48:00,-10
F0034,Vistara,MAA,BOM,2024-07-31 07:26:00,2024-07-31 09:04:00,7
F0035,Vistara,HYD,BOM,2024-08-24 06:41:00,2024-08-24 08:02:00,-1
F0036,Air India,HYD,CCU,2024-08-24 09:05:00,2024-08-24 10:43:00,-10
F0037,SpiceJet,AMD,BLR,2024-07-07 07:34:00,2024-07-07 08:41:00,-2
F0038,Go First,CCU,HYD,2024-07-16 16:16:00,2024-07-16 18:15:00,8
F0039,IndiGo,HYD,BLR,2024-07-08 15:18:00,2024-07-08 17:33:00,23
F0040,Vistara,PNQ,MAA,2024-07-18 09:19:00,2024-07-18 10:38:00,39
F0041,IndiGo,BLR,AMD,2024-07-11 19:23:00,2024-07-11 21:15:00,47
F0042,IndiGo,HYD,CCU,2024-07-05 19:10:00,2024-07-05 21:36:00,48
F0043,Go First,CCU,MAA,2024-08-16 17:34:00,2024-08-16 18:35:00,39
F0044,SpiceJet,HYD,CCU,2024-07-24 20:18:00,2024-07-24 21:53:00,-10
F0045,Akasa Air,MAA,BOM,2024-07-16 10:33:00,2024-07-16 12:57:00,36
F0046,Go First,HYD,AMD,2024-08-23 19:01:00,2024-08-23 21:29:00,26
F0047,IndiGo,HYD,BOM,2024-07-13 07:38:00,2024-07-13 09:16:00,-10
F0048,IndiGo,MAA,BOM,2024-08-24 05:30:00,2024-08-24 07:51:00,-6
F0049,Air India,MAA,CCU,2024-08-25 16:48:00,2024-08-25 17:58:00,-10
F0050,SpiceJet,DEL,AMD,2024-08-23 07:09:00,2024-08-23 08:48:00,-10
F0051,SpiceJet,CCU,AMD,2024-07-04 08:57:00,2024-07-04 10:48:00,42
F0052,Air India,BOM,CCU,2024-07-23 07:12:00,2024-07-23 08:49:00,31
F0053,Air India,DEL,HYD,2024-08-08 12:00:00,2024-08-08 14:02:00,24
F0054,SpiceJet,PNQ,CCU,2024-07-20 18:08:00,2024-07-20 20:26:00,25
F0055,Air India,AMD,CCU,2024-08-08 05:47:00,2024-08-08 08:35:00,31
F0056,Vistara,HYD,BLR,2024-07-05 15:29:00,2024-07-05 17:34:00,3
F0057,IndiGo,DEL,PNQ,2024-08-25 20:47:00,2024-08-25 22:19:00,6
F0058,Go First,MAA,HYD,2024-07-04 17:13:00,2024-07-04 18:42:00,32
F0059,SpiceJet,DEL,BOM,2024-07-19 06:10:00,2024-07-19 07:10:00,-1
F0060,SpiceJet,BLR,DEL,2024-08-10 09:56:00,2024-08-10 12:40:00,12
F0061,Go First,AMD,BOM,2024-07-18 19:48:00,2024-07-18 22:46:00,0
F0062,IndiGo,HYD,DEL,2024-08-08 16:38:00,2024-08-08 18:14:00,18
F0063,Akasa Air,HYD,AMD,2024-08-21 22:13:00,2024-08-21 23:23:00,25
F0064,Vistara,BOM,BLR,2024-08-10 16:24:00,2024-08-10 18:33:00,5
F0065,Akasa Air,AMD,CCU,2024-07-19 13:47:00,2024-07-19 16:44:00,0
F0066,Akasa Air,AMD,BOM,2024-08-12 21:08:00,2024-08-12 22:44:00,-10
F0067,Air India,AMD,BLR,2024-07-09 16:18:00,2024-07-09 17:57:00,10
F0068,Air India,BOM,BLR,2024-08-21 09:41:00,2024-08-21 11:56:00,3
F0069,Vistara,AMD,CCU,2024-08-21 07:58:00,2024-08-21 10:07:00,18
F0070,Go First,BLR,DEL,2024-07-11 08:27:00,2024-07-11 09:30:00,-10
F0071,Vistara,CCU,PNQ,2024-07-08 12:03:00,2024-07-08 13:50:00,-10
F0072,Akasa Air,MAA,BOM,2024-08-22 14:28:00,2024-08-22 16:17:00,-10
F0073,SpiceJet,PNQ,AMD,2024-08-19 21:51:00,2024-08-20 00:11:00,6
F0074,SpiceJet,CCU,DEL,2024-07-03 21:39:00,2024-07-04 00:08:00,1
F0075,Air India,BOM,AMD,2024-07-19 20:15:00,2024-07-19 21:15:00,37
F0076,Air India,AMD,BLR,2024-07-29 20:06:00,2024-07-29 22:12:00,-10
F0077,SpiceJet,DEL,BLR,2024-07-31 10:49:00,2024-07-31 13:19:00,26
F0078,Vistara,MAA,AMD,2024-08-13 09:42:00,2024-08-13 11:18:00,22
F0079,Akasa Air,CCU,BLR,2024-07-15 06:44:00,2024-07-15 09:09:00,30
F0080,Go First,DEL,BLR,2024-08-25 06:13:00,2024-08-25 08:43:00,-1
F0081,Air India,CCU,AMD,2024-07-17 16:04:00,2024-07-17 17:58:00,32
F0082,IndiGo,DEL,CCU,2024-08-18 20:46:00,2024-08-18 23:06:00,37
F0083,Air India,AMD,BLR,2024-07-02 14:02:00,2024-07-02 16:38:00,27
F0084,Akasa Air,PNQ,CCU,2024-07-17 19:53:00,2024-07-17 21:40:00,-10
F0085,IndiGo,HYD,CCU,2024-08-21 09:32:00,2024-08-21 12:15:00,21
F0086,Akasa Air,HYD,BLR,2024-07-08 05:54:00,2024-07-08 07:02:00,12
F0087,Air India,MAA,BOM,2024-08-29 22:08:00,2024-08-30 00:12:00,9
F0088,SpiceJet,AMD,BOM,2024-07-04 09:21:00,2024-07-04 11:13:00,-10
